,Customer,Date,Rating,Review Title,Review Body,New Rating
0,VM,2020-06-05,5.0,need replacement,network issue phonecalls get connected restart often make calls amazon kindly arrange replacement ittotally unsatisfied,3
1,sajjad,2020-06-04,1.0,nice,nice lots featuresmanufactred,3
2,gaurav,2020-07-12,1.0,touch working,nt think nice decision purchase product product received touch issue ca nt even pick phone cant unlock phone ca nt even switch phone,1
3,Seri,2020-06-30,5.0,phone good camera sucks,phone good battery excellentits response also commendablehowever camera mark images unrealistic slight zooming clicked images enough reveal flaws something expecting camera,3
4,Bibaswan Banerjee,2020-06-22,1.0,first impression,speed upto mark ram phone expected samsung output sound quality also ordinarycameras front rear click nice pics,1
5,Sourjya Roy,2020-06-15,3.0,recall mobile market,one speaker bottom instead two hear even speaker mike bad people hear accept second sim first installation put second call receive normal call call voice goes low even charging wire quality bad even fast charge mobile,5
6,Mahesh Nivale,2020-06-06,2.0,excellent product excellent delivery service amazon thank much,excellent mobile great camera quality battery backup good touchscreen smooth usually samsung,5
7,Lalit Sharma,2020-07-08,2.0,best phone value money,months facing issues calls due mobile antenna problembetter battery life hrs continues usage callswide angle camera primary camera goodmacro camera best giving detailslittle heavy due monster batteryaudio quality awesome dolby surround optionalmost month using performs good,4
8,Mohit,2020-06-09,5.0,relevant excellent product,basically good product best daily use decent gaming design wrote review personal experience least really loved hope last really longand lags samsung knox features provided samsung totally awesome,5
9,Prashaanth,2020-08-14,5.0,overall good price,performance battery life goodconsin screen fingerprint sensor good recognize multiple attempts quick wellproduct delivery got delay many days due unavailability guy pickup exchange mobile buy exchange,3
10,Shubhangi bhende,2020-07-06,5.0,worst product hanging,browser support video really terrible hanging switch phone also reset shared videos review worst product buy anyone product,5
11,chirag,2020-06-24,3.0,unexpected one samsung india,phone came spectacular features alas come quality within days buying display got ruined screen turned yellow amazon product service team replacement took days replace product means operating days without phone data could backed guarantee use device fix display id logged could anything handover phone simply return sure accountable security misuse data misuse phone,3
12,VM,2020-06-05,5.0,camera cahrging sensor network,camera camera options updated like yr options capture wirh picture blurring zoom settings avalable totally bad charger coming mobile charging mobile takes satand charging gooddisplay display good qualitysensor properly working network lte full volte network bad cost calls browsing simultaniusly cant use using samsung,5
13,sajjad,2020-06-04,1.0,galaxy,series good phone inspite configuration quadcamera getting hotter talk working also hangs call sometimesnot happy ask replacement amazon even return policy duration technical support makes round round querries justificationshope nt go,1
14,Mahee,2020-09-02,1.0,,good smooth,5
15,anuradha singh,2020-09-29,1.0,best far,quad camera beyond expectations proved personal laptop storage better camera videography photography better office biometrics face recognition thumb recognition battery like best far voice clear previous mobilesbut one thing bothered went mobile shop searching screen guard fellow cheated fixed screen guard suitable mobile supplying screen guard along mobile less like person dancing michael jackson tune tying leg backwards,3
16,RANGU MAHESH,2020-07-15,1.0,better expected,phones battery life better promise used phone nearly hours intensively also battery still remaining camera quality also goodbut good gaming dont play much games problem according go didnot experience heating issues fast enough working best phone bought till,1
17,Amazon Customer,2020-07-14,2.0,worth,good buy performance damn slow even mediatek instead go seriesi think problem software well optimised phone hardware configuration fixed tinkering kernal level root hey gon na brand new purchase better use days see return aftwerwardsbattery also major issue nt last long even full day light use goes deaddissappointed,1
18,Sandeep,2020-06-29,5.0,month review,good option price range almost month using device problems facing device heating another lags heating us main problem become extremely hot either watching netflix charging power bank nt know persistent issue day bought comes ram still fast last phone ram camera quality good battery life okayish,5
19,Amazon Customer,2020-09-15,5.0,nt buy,slow done full format full reset still slow wort spend much samsung pay options also camera worst happy,5
20,Malathy ,2020-11-08,5.0,dispute goods sale hare,amazon prime giving disputed prodact samsung else company know well kind disputed product sale amazon printed could mention fingerprint reader battery life screen quality one problems one friend buy product day retail shop problem facing like cake scroll,5
21,Apurv Choudhary,2020-08-01,1.0,make india product brand,prosos goodcamera amazimglooks goodconsprice little bit highercould around bit bulkysometimes slowanyways loving rating side,5
22,Akhand Bhandari,2020-07-21,4.0,samsung review,battery life one thing liked phone get heatedbut texts suddenly go back engaged reading themand worrisome preloaded apps need thank,3
23,Rahul Dongre,2020-07-10,1.0,screen finger working,screen finger working even changed another one,3
24,VM,2020-06-05,5.0,great phone,good phone battery life really great quite happy purchaseand camera amazing galaxy sport large typical battery geometric design glossy finish make awesome inside outside choose prism crush black prism crush white prism crush blue,5
25,sajjad,2020-06-04,1.0,camera quality bad,build quality look perfect easy handle despite much bigger screen camera quality awful looking best camera well nt go phone,1
26,Amazon Customer,2020-09-10,1.0,looks like premium,best mobile,3
27,Nilesh Choubey,2020-08-14,5.0,recommended,poor quality product samsungfingerprint reader face recognition rarely works within month use keypad hanging every,5
28,Shama Bhat T.R,2020-08-11,3.0,good,microphone working month,5
29,Sudhakar,2020-08-13,1.0,poor performance,overall quality poor within one month fingerprint sensor issues already quite slow begin poor camera quality poor touch worth money battery life good charger bad takes hours full charge,5
30,Ayushi vashisht,2020-09-03,5.0,update camera videos,phone overall good performance also good lacking sound quality camera department camera nt take good picture low light areas evening options capture slow motion time lapes videos hope software update samsung gets done,5
31,ABHISHEK CHILLARGE ,2020-08-22,2.0,respect money bad deal,finger senser working intermittent causing late response every activity volte services denied airtel video call possiblephone get heated connected smart view tv,3
32,senthamizh s.,2020-06-27,5.0,must buy,good phone,5
33,Rupal Singh,2020-10-15,1.0,heating issue worst processor,nt buy product heating issue must cost product worth due worst processor macro camera working properly,5
34,Amit Kumar Ghosh,2020-06-22,1.0,worst products,processor slow camera quality bad battery get easily exhausted normal use expensive price ranges,5
35,Amazon Customer,2020-08-27,1.0,worst phone samsung,worst phone range purchased months ago company claiming heavy duty battery drainage high apart processor slow result hanging dont go samsung range redmi realme good,3
36,VM,2020-06-05,5.0,useless worthless product,useless defective mobile ever bought amazontouch dont work properlymobile charging defectivedisplay dont work properly,5
37,sajjad,2020-06-04,1.0,good performance,overall good phone knox security feature parental rights restrict kids,4
38,Amazon Customer,2020-08-16,3.0,nice mobile near rs,battery camera best also best display networkas per gb ram much faster quite enoughoverall processing good per price range looking best phone near one good options,5
39,Nivi,2020-07-26,1.0,good phone good confiugration,pricing bit higher side secondly speaker give bottom phone,3
40,sushil jain,2020-06-23,5.0,functionality poor,upto mark opposed type one day usage said storage full ca nt download ny media mobile hotspot default condition working screen shot button workingthese problem faced day uselater dontbkkow many come,5
41,JAGAN,2020-08-14,1.0,rich except feeble call volume,like posh comfortable lot featuresdislike poor volume phone struggle hear side wonder samsung nt check,1
42,Divyanshu Srivastava,2020-11-17,1.0,heating hanging issue,nothing like phoneit never expected brand like samsung phone started heating phone screen freezes cant make call emergencydon waste money phonebetter go brands,1
43,Satyendra Kumar Jha,2021-01-22,4.0,indians looking non chinese phone segment must buy samsung galaxy,samsung galaxy value money camera quality fabulous look warmth phone awesome handy extremely userfriendly looking non chinese brand good phone choice,5
44,Sugat Bhalshankar,2021-01-15,1.0,bad option gamers,except games like pubg phone goodtouch smooth,3
45,Digvijay Singh,2020-11-22,5.0,samsung,overall quality device value money spend features less advance compared old samsung lcd display quality also low compared good camera quality slowmotion hyper motion available,5
46,Dayanand Nimbalkar,2020-08-16,4.0,good,onscreen fingerprint little slowface recognition need fastersad missing slow motion videoperformance bestbattery satisfied comes one full day charger length shortbest phone,5
47,Deepak Mehta,2020-08-03,4.0,best budget phone,review month happy product reduced rps launch appreciated overall battery backup performance screen brightness good far good,4
48,VM,2020-06-05,5.0,takes hours full charge gets heats quickly,taking prolong time get full charge takes hours charge rest takes another hours full chargebattery gets quickly phone heats quicklyneed register complain service center,4
49,sajjad,2020-06-04,1.0,absolutely unreliable product,started giving trouble within two months purchase six months later stopped working camera bad quality unrealistic colours,1
50,moumita,2020-08-18,2.0,worth,great phone non chinese product value money,3
51,Dharmalingam Pavadaisamy,2020-07-31,4.0,replacement glassware,complaint dislike display glass broken long line mishandling complaint please give directions early possible faithfully ksvelayudhan,4
52,dinakrishna,2020-12-10,1.0,awasome mobile great range,amoled screen awesome qualitygood camera decent quite speakerssamsung pay edge screen quite handy usefulbest part ensembled manufactured india,1
53,GAURAV,2020-08-16,5.0,please stop frequent updates samsung personal apps useless percent users,good product samsung software updates daily annoying bought father novice android phones become morning routine update phone daily updates notifications,4
54,Ramprasad k,2020-07-03,3.0,phone defective,ring tone working speaker functioning spite sending repair samsung service center phone repaired need replacement,4
55,Nailesh L.,2020-09-04,4.0,,great battery days fingerprint quick screen response good,5
56,Yathin C P,2020-10-20,4.0,good phone camera good expected,giving star less camera rest phone good work camera clarity,4
57,DILEEP THANKACHAN,2020-07-05,5.0,worst phone ever,purchased phone months back one plus screen got damaged samsung phone really worth buying performance slow biometric quality poor pls nt buy phone,5
58,Amazon Customer,2021-03-12,1.0,review samsung,average phone full charge battery holds day necessitating charging everyday typing space messenger short consumes lot area,3
59,Ashok Mohindra,2021-03-09,1.0,good phone,good phone issue battery life charged reached using google play store software update camera ok processer performance ok overall phone performance good,5
60,VM,2020-06-05,5.0,phone working,swipe unlock working remains still phone working hence need exchange phone immediately,3
61,sajjad,2020-06-04,1.0,waste money,phone working properly getting hanged frequently,1
62,S B Kulkarni,2020-09-04,5.0,like samsung,good phone,5
63,Amazon Customer,2021-03-10,5.0,nice product,excellent product,5
64,Nirav D.,2020-10-14,5.0,great phone overpriced,excellent phone loaded features sleek premium phone little overprice great camera wonderful display loving every bit wish got,5
65,sagar,2020-11-16,4.0,received front camera damaged,received phone front camera damagednot happy experience purchase,4
66,Rajiv Mahesh,2020-12-25,1.0,satisfied,get expected,3
67,parmar bipin,2020-08-23,5.0,buy undoubtedly,finger print reader working receive pouch screen guard along phone whereas provided hir offline buying,5
68,Anjum,2021-03-17,4.0,good product,good product,5
69,Chetana,2020-08-22,1.0,worst experience,getting charged using month,5
70,SUDHEERBABU,2020-08-29,4.0,nice phone,good product,5
71,Shashi kant,2020-07-04,4.0,nice,nice,5
72,VM,2020-06-05,5.0,budget mobile go,awesome mobile display finger print specs good according price buy,5
73,sajjad,2020-06-04,1.0,battery utter flop camera good,writing review days usage waste battery waste camera performance also good prefer buy electrics amazon,3
74,Amrita Sur,2020-07-22,1.0,samsung galaxy defective,amazon delivered defective item phone mic working,1
75,Lijo,2020-09-18,1.0,solid,pretty decent price payinggreat battery life amazing screen quality,5
76,PRASHANTH KUMAR M R,2020-06-10,5.0,good,good,5
77,Anonomous,2021-03-04,5.0,nice phone,using samsung really nice new experience phone battery backup good watch movie whole day charging,5
78,Amazon Customer,2020-09-03,4.0,samsung,ok case receving signal poor compared mobile phones like real mi vivo,5
79,MANOJ K.,2020-10-30,1.0,excellent phone,excellent device got best camera top performances good battery backup else want life,5
80,Ravi Yadav,2020-10-14,1.0,excellent,good product great service,5
81,Kiranmai,2020-08-22,4.0,finger print,finger print working properlyvery poor,3
82,Amazon Customer,2020-11-07,5.0,,really enjoy nice experience phone features phone great condition thanks samsung,5
83,galaxy,2020-10-15,1.0,love product,nice producttotally liked itcamera quality awesomebattery life also goodjust loved productworth money,3
84,VM,2020-06-05,5.0,worth money,battery life last whole day camera performance also good supportted assecories also worthy,3
85,sajjad,2020-06-04,1.0,cost emi provided,purchased item cost emi hdfc credit card emi option activatedgiven,1
86,Vinod Paul M V,2020-08-19,4.0,good mobile middle range good features,good mobile looks good camera great speed inbuilt display fingerprint like,4
87,Vinayak bondre,2020-06-23,5.0,sensor poor,fingers sensor face reading sensor poor even every second time open drawning patterns,5
88,PAVAN,2021-03-20,4.0,amazing device,amazing devicehappy buy itscreen quality battery life performance upto mark,4
89,Dinesh Kumar s,2021-02-08,1.0,samsung,nice samsung,5
90,RAHUL CHAUDHARY,2020-07-18,1.0,software,phone working properlysoftware updated service centreadvise return phone,3
91,ronak,2020-08-14,5.0,ok ok,think better,3
92,Biswajit Bhowmik,2021-04-19,5.0,need urgent help,july phone gone blank starting dead within less month delivery purchase,4
93,ajay Tomer,2020-07-05,5.0,nice awesome phone favorite manufacturer,good look stable configuration light wieght,5
94,Poreddy,2020-07-18,5.0,finger scanning,finger scanning working properlyinternet speed shows require install another app,5
95,Mahendra Paranjpe,2020-10-13,5.0,great,phone voice volume less,5
96,VM,2020-06-05,5.0,slow,honestly worst smartphone ever use,5
97,sajjad,2020-06-04,1.0,original review,call goes hold touching ear irritating persisting problem idiotic size like long baton dont buy,1
98,pk,2020-07-30,5.0,marvelous,looks like premium,5
99,amarnathreddy markala,2020-07-31,2.0,phone legging much,fingerprints working properly battery also giving average performance,5
100,Praveen B,2020-09-04,5.0,review,camera level battery good performance also good,3
101,Bibhuprasad Das,2020-07-10,5.0,,like,5
102,Nisarg ,2020-08-14,5.0,battery,excellent battery life charging phone two days half hour,5
103,KP Singh,2021-02-16,3.0,worst rear camera,picture quality rear camera much poor even,5
104,binder,2020-08-16,5.0,good descent phone,descent phone samsumg really good battery backup even handy use,5
105,Vipin rawat,2020-07-25,2.0,ok,ok,5
106,syed rafi,2020-09-06,5.0,product good,battery life good warmthit good,5
107,Amazon Customer,2020-07-19,5.0,nice,good phone,5
108,VM,2020-06-05,5.0,best phone,super phone battery fast charging good,5
109,sajjad,2020-06-04,1.0,screen,screen performance gooddisplay damaged,3
110,RAMESH K.,2021-03-25,3.0,thames samsung,battery good pictures quality good,5
111,Deepak,2020-06-18,3.0,nice one,good product samsung,5
112,Amazon Customer,2020-07-18,1.0,worst,worst,5
113,ranjeet jha,2020-07-01,5.0,value money,fully satisfied good product made india,5
114,Amazon Customer,2020-08-18,1.0,good,like everything,5
115,MANOHAR MIRYALA,2020-08-10,2.0,awesome phone,super performance,5
116,Shaon Bera,2020-10-06,1.0,fantastic,good look wise performance,3
117,sanjeev kumar,2020-07-20,2.0,best battery life,like battery camera quality phone,5
118,indeevar joshi,2020-08-14,4.0,excellent,battery life good charge phone alternate days,5
119,aman j.,2020-11-02,1.0,good one price,smooth use good picture quality vivid colors,5
120,VM,2020-06-05,5.0,bestest,perfect one,5
121,sajjad,2020-06-04,1.0,amazon marketplace late response,browser support video value,3
122,Anil kumar,2020-08-08,4.0,good mobile,mobile phone okay value money,5
123,Arvind kumar shukla,2021-04-30,5.0,sim issue,sim working properly give solution,3
124,Shiva Jyothi,2020-08-14,4.0,worthful product,nice phone good battery back,5
125,Atreya Chakraborty,2020-07-06,1.0,secure folder excellent battery life,personnel use,5
126,Abhishek,2020-07-18,4.0,best smartphone,good camera,5
127,Amazon Customer,2020-08-19,5.0,samsung best,good buy,5
128,ganga Singh,2020-08-03,5.0,fast charger working,fast charger working nicely,3
129,Rahul,2020-06-28,5.0,superb,super quality mobile super long cover battery,5
130,adiveppa,2020-08-14,5.0,awesome,awesome quality nice phonethanks samsung,5
131,Vamsi,2020-09-03,2.0,free use,good product,5
132,VM,2020-06-05,5.0,love phone awsome battery awesome camera,best product price catagory,5
133,sajjad,2020-06-04,1.0,samsunga,good value money phone,5
134,Amazon Customer,2020-08-01,4.0,good,good,5
135,Sumit,2020-07-28,5.0,good,good,5
136,neha,2020-07-21,1.0,biometric working properly,battery life average,3
137,Amazon Customer,2020-08-16,5.0,average,average phone price,5
138,nikhil mankar,2020-09-07,5.0,value money,good mobile,5
139,sharma jaymeen,2020-10-17,5.0,elegent purchase,awesome value money,5
140,P S JANGIR,2020-08-25,5.0,one best phone ever use,feature phone value money,5
141,Ashwani Kumar,2020-09-04,4.0,samsung,camera awesomefingerprint,5
142,Nishu Bharaj,2020-08-01,5.0,good,battery backup good value money,5
143,Dr. Swati Pawar,2020-09-03,5.0,excellent,everything excellent,5
144,VM,2020-06-05,5.0,amazing,good product samsung,4
145,sajjad,2020-06-04,1.0,money worthy,good product,3
146,Aman,2020-08-23,5.0,,worth price nt buy phone,5
147,RAJU HOSOORU,2020-09-21,2.0,great deal,good product,3
148,Amazon Customer,2020-08-01,4.0,mobile performance,mobile performance good,4
149,virendra yadav,2020-08-17,5.0,good buy,good phone,5
150,saurabh mathur,2020-07-09,5.0,better nord,great phone better nord,5
151,Nandkumar Padmakar Pande,2021-02-21,5.0,product good delivery service bad,product good delivery service bad,5
152,Azad khan,2021-04-10,5.0,like samsung products like,picture clarity tuch sensitivity,3
153,Arunkumar,2021-03-22,4.0,loved,nicee,5
154,PRADIP KUMAR SINGH,2020-07-24,3.0,waste product,waste product working finger print,5
155,Balamurugan,2020-10-12,5.0,ok,bad hanging problem little,5
156,VM,2020-06-05,5.0,good quality,good product,5
157,sajjad,2020-06-04,1.0,display,osm products samsung,3
158,KEDARESH.SS,2020-07-11,5.0,good reliable model battery nice,photo quality amazing satisfied,5
159,Arijit ghosal,2020-08-14,4.0,performance,good performance,5
160,DEEP PATEL,2021-01-30,5.0,screen scanner pathetic,make software user freindly,5
161,Abhishek,2020-09-19,5.0,go,good choice lucky thank amazon,5
162,Sundeep,2020-08-27,5.0,good better,good better,5
163,Amazon Customer,2021-02-11,5.0,avg performance,month lagging,5
164,Vijay Rathour,2020-07-26,3.0,awesome,awesome,5
165,Piyushsinh Solanki,2021-03-18,3.0,good one,good one speeker volume low,5
166,Nishanth B,2020-07-17,5.0,compare money good,waste money service bad,5
167,VINOD KUMAR RANA,2020-08-06,4.0,best thing,battery life goodd,4
168,VM,2020-06-05,5.0,best,good battery life worth money,5
169,sajjad,2020-06-04,1.0,improved quality,smooth running,3
170,Shirish Dattatraya Dharap,2020-07-06,5.0,awesome,awesome,5
171,Minakshi yadav,2020-09-04,5.0,justify cost,value money,3
172,BHABISH THAKUR,2020-08-14,5.0,response important customers,loved,1
173,Lakshman kumar,2020-08-01,5.0,excellent,size large,5
174,Dr. Yashvi Pandey,2020-08-23,5.0,samsung reviews,worth purchase,3
175,Chandra s.,2020-09-28,5.0,awesome,beautiful,5
176,Kanak sharma,2020-07-26,1.0,battery,battery life good,5
177,AASNA,2020-08-01,5.0,product quantity,good product,5
178,Amazon Customer,2021-02-01,1.0,good,good,5
179,prince p,2021-04-07,5.0,nice,nice,5
180,VM,2020-06-05,5.0,best quality,good,5
181,sajjad,2020-06-04,1.0,bad,everything dislike,5
182,Nikhil S.,2020-09-15,5.0,perfect,everything perfect,5
183,mani j,2021-01-01,4.0,nice,best mobile,5
184,Sanjay Khandalkar,2020-08-16,5.0,good mobile price,nice mobile,5
185,Rinchen gurung,2020-08-21,4.0,nice phone,nice phone,5
186,Naveen,2020-07-18,1.0,good,working good,5
187,HANUMANTHA RAO,2020-09-03,4.0,worth money,good working well,3
188,Meet,2020-09-02,5.0,good,good,5
189,Saurabh,2020-09-03,5.0,good product,nice,5
190,Jay,2020-09-03,4.0,awesome phone,nice mobile,5
191,Robert J.,2020-08-16,4.0,good,good mobile,5
192,VM,2020-06-05,5.0,good,good,5
193,sajjad,2020-06-04,1.0,must try,good one,3
194,Nitesh,2020-12-12,2.0,thnx,happy,5
195,Sayantan Banerjee,2020-07-06,5.0,may want,value money,5
196,Rakhi,2021-02-09,4.0,satisfied performance,phone problem touch screen,2
197,Vigesh Vijayan,2020-09-03,3.0,worth,bad,3
198,Amazon Customer,2020-08-16,4.0,nice phone,nice,5
199,marimuthu,2020-06-15,3.0,best one,good normal use,5
200,Manoj Gautam,2020-11-28,1.0,defective,camera problem,3
201,sushma,2020-09-03,5.0,ok,ok phone,5
202,Supriya,2020-07-20,5.0,osm,super,5
203,Amazon Customer,2020-09-15,5.0,better chinese phone like vivo oppo,good battery life,5
204,VM,2020-06-05,5.0,excellent service,aparna shete,5
205,sajjad,2020-06-04,1.0,super,samsung,3
206,Rajdeep Chatterjee,2020-09-07,5.0,complaints,worth price,5
207,Jai,2020-08-17,5.0,good,good product,5
208,Kaustubh,2020-11-29,5.0,nice,good product,5
209,MAQBUL AHMAD BAROTE,2020-07-08,5.0,go,nice,5
210,Bilal Khan,2020-09-03,1.0,best phone,best phone,5
211,Wasimkhan Shabaskhan pathan,2020-08-13,4.0,good,good use,5
212,Amazon Customer,2020-08-16,5.0,ok phone,alright,5
213,Amazon Customer,2020-09-06,5.0,good quality,best phone,5
214,Ashis Swain,2021-03-05,4.0,good,good phone,5
215,Dileep,2020-11-28,5.0,ok,na,5
216,VM,2020-06-05,5.0,nice,nice one,5
217,sajjad,2020-06-04,1.0,,,5
218,Ganji.venkatesh,2021-01-21,4.0,good phone,liked phone,3
219,Pandurang V B Patil,2020-11-15,2.0,heating,battery overheating charging,5
220,Kumud Lakra,2020-07-26,5.0,fine,average,5
221,mohit patel,2021-02-13,5.0,product,good product,5
222,Amazon Customer,2020-08-01,4.0,love,super,5
223,Anil Kumar,2021-01-29,5.0,satisfied,good,5
224,srinivasan,2021-03-19,4.0,overall good,good,5
225,Senthamilkumar,2020-07-06,5.0,good,fine,5
226,Manas Goswami,2020-09-22,5.0,clarity picture,good,5
227,savit,2020-09-03,5.0,awesome,good,5
